fdcNumber	conceptId	Keytype	indexTerm-en	indexTerm-de	indexTerm-sv	indexTerm-fi	indexTerm-fr	indexTerm-sl	indexTerm-sp	Match	agrovocConcept	scopeNote	fi-new-term	seÄven	USE-se	RT-se	v2016-se	altLabel-en	altLabel-de	altLabel-sv	altLabel-fi	altLabel-fr	altLabel-sl	altLabel-sp	hiddenLabel-en	hiddenLabel-de	hiddenLabel-sv	hiddenLabel-fi	hiddenLabel-fr	hiddenLabel-sl	hiddenLabel-sp
165.41	734		Controlled pollination	Kontrollierte Bestäubung	kontrollerad pollinering	kontrolloitu pölytys	pollinisation contrôlee		polinisación controlada			Controlled pollination to purposely pollinate the female flowers of a tree with pollen from a known source. Usually the flowers are protected from undesirable pollen by covering them with a pollen-tight cloth or paper bag before they are receptive and adding known source pollen at recetivity. (SilvaVoc 2005)	2017																		
165.41	735		Crossing (plant breeding)	Kreuzung (Pflanzenzüchtung)	korsning (växtförädling)	risteytys (kasvinjalostus)			cruzamientos, reproducción vegetal 																						
165.41	736		Cytogenetics: plant	Zytogenetik: botanisch	cytogenetik: växter	sytogenetiikka: kasvien			citogenética vegetal 																						
165.41	737		genetic recombination	Gen-rekombination	genrekombination	geenirekombinaatio	recombinaison génétique		recombinación genética			The formation in descendants of new gene combinations that are not found in the parents, making each individual seedling genetically unique. (SilvaVoc 2005)	2017																		
165.41	738		genetically modified organism (GMO)	Genetisch veränderter Organismus	genetiskt modifierad organism (GMO)	geenimuunneltu organismi (GMO)	organisme génétiquement modifié (OGM)		organismo genéticamente modificado (OGM)			Organisms - microbes, plants or animals - that have been manipulated at the genetic level by means of biotechnology (recombinant DNA technology). (SilvaVoc 2005)	2017																		
165.41	739		Hybridization (plant breeding)	Bastardierung (Pflanzenzüchtung)	hybridisering (växtförädling)	hybridisaatio (kasvinjalostus)			hibridación (reproducción vegetal) 																						
165.41	740		inbreeding	Verwandschaft	inavel	sisäsiitos	endogamie		endogamia			The production of offspring by mating related organisms, often by selfing	2017						Endogamie												
165.41	741		Introgression	Introgression	introgression	introgressio	introgression		introgesión			The natural movement of a gene from one species or population to another through hybridization and successive backcrossing of the hybrids. (SilvaVoc 2005)	2017																		
165.41	742		Mating system	Paarungssystem	korsningssystem	pariutumisjärjestelmä	système de reproduction		sistema de cruzamiento			The pattern of pollinations set up between individuals. NOTE Mating design is described, e.g. as random, systematic, diallel, or according to parental similarities. (SilvaVoc 2005)	2017									mode de reproduction									
165.41	743		progeny  testing	Nachkommenschaftsprüfung	avkommeprövning	jälkeläistestaus	test de descendance		prueba de progenie			A planting generally designed to evaluate parents by comparing the performance of their offspring or to provide for selection of future parents from within the planting itself. (SilvaVoc 2005)	2017																		
165.41	744		recurrent selection	Rekurrente Selektion	rekurrent selektion	toistuva valinta	sélection récurrente		selección recurrente			Repeated selection in each generation, which, in conjunction with recombination, allows the progressive accumulation of superior genes in a breeding population. (SilvaVoc 2005)	2017																		
165.41	745		roguing	Ausmerzung	klongallring	kloonien karsinta	éclaircie génétique		depuración			Systematic removal of clones which have less desirable characteristics from the clonal seed orchard, with the intention of increasing genetic gains from the orchard. (SilvaVoc 2005)|To cull; to destroy plants not meeting a required standard. Especially when saving seed, rogue or unwanted plants are removed before pollination. (redfoxsanakirja)	2017																		
165.41	746		specific combining ability	Spezielle kombinationsfähigkeit (SKF)	specifik kombinationsförmåga	erityinen kombinaatiokyky	aptitude spécifique à la combinaison (ASC)		aptitud combinatoria específica			The departure of a pair-cross from the value expected from parental general combining abilities. NOTE Reflects non-additive gene effects. (SilvaVoc 2005)	2017																		
165.42	747		plant chromosomes	Chromosomen: der Pflanzen	växtkromosomer	kasvien kromosomit			cromosomas vegetales 															constitución genética de las plantas 							
165.42	748		polyploidy (plant breeding)	Polyploidie (Pflanzenzüchtung)	polyploidi (växtförädling)	polyploidia (kasvinjalostus)			poliploidía (fitomejoramiento)																						
165.43	749		Mutations (plant breeding by)	Mutationszüchtung (Pflanzenzüchtung)	mutationer (växtförädling)	mutaatiot (kasvinjalostus)			mutaciones, reproducción de las plantas por 																Breeding, plant basic methods (by using mutations)	Züchtung: Hauptmethoden (durch Mutationszüchtung)	växtförädling, grundläggande förädlingsmetoder (med utnyttjande av mutationer)	kasvinjalostus (mutaatioiden avulla)			reproducción vegetal, genética y mejoramiento, métodos  básicos (por  mutaciones) 
165.44	750		Asexual (vegetative)reproduction, plant breeding by	Ungeschlechtliche (vegetative) Fortpflanzung: Züchtung durch	asexuell (vegetativ) förökning hos växter, förädling med utnyttjande av	vegetatiivinen lisäys (kasvinjalostus)			asexual (vegetativa); reproducción - multiplicación por reproducción 																Breeding, plant basic methods (by asexual reproduction)	Züchtung: Hauptmethoden (durch vegetative Fortpflanzung)	växtförädling, grundläggande förädlingsmetoder (genom asexuell förökning)				reproducción vegetal, genética y mejoramiento, métodos  básicos (por multiplicación asexual) 
165.44	751		varietas	Varietät	varietet	muunnos	variété		variedad			A distinctive seedling population or clone, usually one that possesses enough desirable characteristics to be commonly cultivated. In agriculture and horticulture all the plants within a variety would usually be quite uniform genetically. In forestry the term is more loosely used and the variability within a seedling variety is usually much greater. (SilvaVoc 2005)	2017								varietas										
165.441	752		Cloning	Klonierung	kloning	kloonaus	clonage		clonaje			The process of duplicating any organism to produce individuals that are exact genetic copies of  the original. A single desirable tree can be duplicated without limit, each individual duplicate being an exact copy of the original tree. NOTE Clones are often named with non-Latin names preceded by the abbreviation 'cl'. (SilvaVoc 2005)						Clones: breeding	Klone: Züchtung	kloner (avel)	kloonit (jalostus)	clone		clón	Breeding, plant-basic methods (by clones)	Züchtung: Hauptmethoden (durch Klone)	avel, kloner	jalostus, kloonit			cría, clones
165.442	753		Tissue culture - breeding	Gewebekultur, Züchtung	vävnadsodling, avel	solukkoviljely			cultivo de tejidos																Breeding, plant-basic methods (by tissue culture)	Züchtung: Hauptmethoden (durch Gewebekultur)	avel, vävnadsodling	jalostus, solukkoviljely			cría, cultivo de tejidos
165.442	754		somatic embryogenesis	Somatische Embryogenese	somatisk embryogenes	somaattinen embryogeneesi	embryogenèse somatique		embriogénesis somática			The formation of an embryo, arising from a somatic single cell or a group of diploid somatic cells cultured in vitro. (SilvaVoc 2005)	2017																		
165.45	755		additive gene effects		additiva geneffekter	additiivinen geenivaikutus	effets génétiques d'additivité		efectos genéticos aditivos			The effects of alleles combining in a linear, incremental fashion to produce genetic variation. NOTE Associated with genes whose action is independent of other genes (SilvaVoc 2005)	2017																		
165.45	756		gene pool	Genpool	genpool	geenipooli	pool génétique		fondo de genes			The total genetic information present in a breeding population or species at one time. NOTE More often applied as a common term for all  genes present in plant or animal populations from specific regions, e.g. Amazonian forests. (SilvaVoc 2005)	2017																		
165.45	757		general combining ability	Allgemeine Kombinationsfähigkeit	allmän kombinationsförmåga	yleinen kombinaatiokyky	aptitude générale à la combinaison (AGC)		aptitud combinatoria general			The ability of a parent to transmit a trait to its offspring when crossed with a multiplicity of other individuals. It basically reflects additive gene effects. (SilvaVoc 2005)	2017																		
165.45	758		quantitative genetics	Quantitative Genetik	kvantitativ genetik	kvantitatiivinen genetiikka	génétique quantitative		genética cuantitativa																						
165.46	759		Breeding for resistance	Resistenzzüchtung	resistensförädling	resistenssijalostus	sélection de résistance		selección de resistencia																						
165.46	760		Breeding strategies	Züchtungsstrategie	avel, strategier	jalostusstrategiat			estrategias de cría																						
165.5	761		natural variation in plants	Natürliche Variation bei Pflanzen	naturlig variation hos växter	luonnollinen vaihtelu (kasvit)			variación natural: en las plantas 																						
165.51	762		morphological variation in plants	Morphologisch Variation in Pflanzen	morfologisk variation hos bland växter	rakenteellinen vaihtelu (kasvit)			variación natural: en las plantas (morfológica) 																Variation, natural: in plants (morphological)	Variation, natürliche: bei Pflanzen (morphologisch)	variation, naturlig: bland växter (morfologisk)	luonnollinen vaihtelu: kasvit (rakenteellinen)			variación natural: en las plantas (morfológica) 
165.52	763		geographical variation in plants 	geographische variationen in Pflanzen	geografisk variation hos växter	maantieteellinen vaihtelu (kasvit)			variación natural: en las plantas (geográfica) 																Variation, natural: in plants (geographical)	Variation, natürliche: bei Pflanzen (geographisch)	variation, naturlig: bland växter (geografisk)	luonnollinen vaihtelu: kasvit (alueellinen)			variación natural: en las plantas (geográfica) 
165.53	764		physiological variation in plants	Physiologische Variationen in Pflanzen	fysiologisk variation hos växter	fysiologinen vaihtelu (kasvit)			variaciones fisiológicas en las plantas 																Variation, natural: in plants (physiological)	Variation, natürliche: bei Pflanzen (physiologisch)	variation, naturlig: bland växter (fysiologisk)				variación natural: en las plantas (fisiológica) 
165.55	765		conservation genetics	Erhaltungsgenetik	genetik, bevarande	suojelugenetiikka			genética de la conservación																						
165.61	766		fitness	Fitness	fitness	fitness	Valeur sélective		aptitud			In classical genetics, the ability of an individual or population to both survive and reproduce in a particular environment. (SilvaVoc 2005)																			
165.61	767		Natural selection (plants)	Natürlich Selektion (Pflanzen)	naturlig selektion (växter)	luonnonvalinta (kasvit)			selección  natural (de plantas)																						
165.62	768		Plus trees	Plusbäume	plusträd	pluspuut			arboles plus																superior phenotypes						
165.62	769		Artificial selection (plants)	Künstlich Selektion (Pflanzen)	Artificiell Selektion (växter)	jalostusvalinta (kasvit)			selección artifcial (de plantas)																						
165.7	770		Hybrids: taxonomic aspects	Hybriden: systematische Gesichtspunkte	hybrider: taxonomiska synpunkter	risteymät taksonomian kannalta			híbridos: aspectos taxonómicos											bastarder											
165.71	771		Hybrids: natural	Hybriden: natürlich	hybrider: naturliga	luonnolliset hybridit			híbridos naturales 																						
165.72	772		Hybrids: artificial	Hybriden: künstlich	hybrider: artificiella	keinotekoiset hybridit			híbridos artificiales 																						
165.73	773		Graft hybrids	Pfropfbastarde	ymphybrider	vartetut hybridit			injertos												ympätyt hybridit				Hybrids: graft	Hybriden: Pfropfbastarde	hybrider: chimärer, "ymphybrider"	hybridit: vartetyt			híbridos de injertos 
165.73	774		Chimaeras, plant	Chimären, pflanzliche	chimärer, växt	kimeirat, kasvit			quimeras vegetales 																						
165.8	775		Biotechnology	Biotechnologie	bioteknologi	bioteknologia	biotechnologie		biotecnología			Any technological application that uses biological systems, living organisms, or derivatives thereof, to make or modify products or processes for specific use. (CBD 1992) NOTE In forestry, this definition covers all aspects of tree breeding. However, interpreted in a narrower sens, modern plant biotechnology is considered to include plant cloning, DNA genotyping, and gene manipulation and gene tranfer. (FAO Statement on Biotechnology, cited in SilvaVoc 2005)																			
166	776		Economic botany, general	Angewandte Botanik i.a.	ekonomisk botanik, allmänt	ekonominen kasvitiede			economía botánica																Botany: economic	Botanik: angewandte	botanik, ekonomisk	kasvitiede, ekonominen			
166.1	777		Useful plants: general	Nutzpflanzen: Allgemeines	nyttiga växter: allmänt	hyötykasvit			plantas utiles																		växter: nyttiga				
166.5	778		Harmful plants: general	Schädliche Pflanzen: Allgemeines	skadliga växter: allmänt	haitalliset kasvit			plantas dañinas																		växter: skadliga	kasvit: haitalliset			
166.6	779		Endangered plants	Gefährdete Pflanzen	utrotningshotade växter	uhanalaiset kasvit			plantas amenazados								v2016										växter: utrotningshotade	kasvit: uhanalaiset			
168	780		Cambium	Kambium	kambium	jälsi			cambium												kambium							mäihä			
168	781		Cell wall (plant): structure (general)	Zellwand (botanisch): Struktur - (allg.)	cellvägg, växt: struktur (allmänt)	soluseina, kasvit: rakenne			pared celular en las plantas: estructura (generalidades) 																						
168	782		Cells, plant: general	Botanische Zellen: Allgemeines	växtceller: allmänt	kasvisolut: yleistä			células vegetales																						
168	783		Histology: plant, general	Histologie: botanisch	histologi: växter, allmänt	histologia: kasvit			histología vegetal																						
168	784		Parenchyma (cytology and histology)	Parenchym	parenkym	tylppysolukko			parénquima 												parenkyymi										
168	785		Phloem	Phloem	floem	nila			floema									liber						líber 				floeemi			
168	786		plant anatomy	Pflanzenanatomie	växtanatomi	kasvianatomia			anatomía de las plantas																		anatomi: växter (allmänt)				
168	787		plant cytology	Botanische Zytologie	växtcytologi	kasvisytologia			citología de las plantas																						
168	788		Secretory elements: in plants (general)	Sekretionselemente: in Pflanzen im allgemeinen	sekretoriska element: i växter (allmänt)	erityselimet (kasvit)			elementos secretores: en plantas (general)																						
168	789		Tissues (histology): plant (general)	Gewebe (Histologie): Pflanzen (Allgemeines)	vävnader (histologi): växter (allmänt)	solukot (kasvit)			tejidos (histología): de las plantas (generalidades) 																						
168	790		Vascular plants, general: histology	Gefäßpflanzen, Allgemeines: Histologie	kärlväxter, histologi	putkilokasvit, histologia			vasculares, plantas, histología 																						
17	791	p	Systematic botany	Systematische Botanik	systematisk botanik	systemaattinen kasvitiede			botánica sistemática  																Botany: systematic	Botanik: Systematik	botanik, systematisk				
17	792		plant taxonomy	Klassifizierung: Pflanzen	växttaxonomi	kasvitaksonomia			taxonomía vegetal 																						
170.1	793	p	Herbaria	Herbarien	herbarier	herbaariot			herbarios  																						
172	794		Algae	Algen	alger	levät			algas																						
172	795		Bacteria	Bakterien	bakterier	bakteerit			bacterias																						
172	796		Fungi	Fungi	svampar	sienet			hongos									Funguses|Mycobiota|Mycota						fungi							
172	797		Lichens	Flechten	lavar	jäkälät			liquenes																						
172	798		Mushrooms	Pilze	svamp	sienet			setas									Champignons|Toadstools	Champignons (Schwammerl)												
172.1	799		Cryptogams	Cryptogamen	kryptogamer	kryptogaamit			criptógamas 											sporväxter											
172.2	800		Thallophyta	Thallophyta	bålväxter	tallofyytit			talofitas 											Thallofyter											
172.3	801		Bacteria	Bakterien	bakterier	bakteerit (eliöt)			bacterias  																						
172.3	802		Cyanobacteria	Cyanobakterien	Cyanobakterier	sinibakteerit			cianobacterias									Blue-green algae	Blaualgen|Cyanophycase	blågröna alger	syanobakteerit|sinilevät			algas verdeazuladas|algas - azul verdosas 							
172.3	803		Schizophyta: Schizomycetes, Schizophyceae	Schizomycetes, Schizophyceae, Schizophyta	schizophyta; schizomycetes; schizophyceae	Schizophyta: Schizomycetes, Schizophyceae			esquizomicetos, esquizoficeas, esquizofitas 																						
172.4	804	p	Slime fungi	Schleimpilze	slemsvampar	limasienet			hongos mucílagos									Myxomycetes	Myxothallophyta	Myxomycetes				mixomicetos 			svampar: slemsvampar				
172.5	805		Flagellates	Flagellaten	flagellater	siimaeliöt			flagelados			Outdated taxonomy.								gisseldjur				mastigóforos							
172.6	806	p	Algae	Algen	alger	levät			algas																						
172.8	807		Eumycota	Eumyceten	Eumycetes	aitosienet			eumicetos 									Eumycotas			Eumycota			hongos: verdaderos 							
172.8	808		Fungi imperfecti	Fungi imperfecti	Imperfekta svampar	fungi imperfekti			hongos imperfectos			Not formally accepted as a taxon any more. is now simply fungi that lack a known sexual stage.						Deuteromycota		Fungi imperfecti				Fungi imperfecti							
172.8	809	p	Mycology	Mykologie	mykologi	sienitiede			mycologia												sienitiede			mykologia							
172.9	810	p	Lichens	Flechten	lavar	jäkälät			líquenes 									Lichenes	Lichenes	Lichenes	Lichenes	Lichenes	Lichenes	Lichenes							
173.1	811		Archegoniatae	Archegoniatae	Archegoniatae	Archegoniatae			Arquegoniadas  																						
173.2	812		Bryology	Bryologie	bryologi	bryologia			briología												sammaltiede										
173.2	813		Bryophyta	Bryophyta	Bryophyta	Bryophyta			briofitas  																						
173.2	814		Liverworts	Lebermoose	levermossor	maksasammalet			hepáticas  									Hepatics													
173.2	815		Mosses	Moose	mossor	sammalet			musgos									Musci	Laubmoose												
173.5	816		Ferns	Farne	ormbunksväxter	saniaiset			helechos																						
173.5	817		Horsetails	Schachtelhalme	fräkenväxter	kortteet			colas de caballo  																						
173.5	818		Pteridophyta	Pteridophyta	Pteridophyta	Pteridophyta			Pteridofitas  																						
173.5	819		Vascular cryptogams	Gefäßcryptogamen	kärlkryptogamer	itiökasvit			criptógamas vasculares 									Cryptogams: vascular	Gefäßpflanzen, Allgemeines												
174	820	p	Floras (regional taxonomic works covering vascular plants) [with geographic number]	Floren (regionale Klassifizierung der Gefäßpflanzen)	floror [med geografiskt tal] (regionala taxonomiska arbeten som omfattar kärlväxter)	kasviot (alueelliset taksonomiset työt)			flora regional (taxonomía de las plantas vasculares) 			[with geographical number and form number (083.8)]						Regional floras (vascular plant taxonomy)[with geographical number]	Regionale Floren (Gefäßpflanzen-Klassifizierung)	regionala floror					Checklists, regional, of vascular plants			lajiluettelot (kasvit)			flora (trabajos taxonómicos regionales referentes a plantas vasculares) 
174	821	p	Dendrology	Dendrologie	dendrologi	dendrologia			dendrologia												puutiede										
174	822		Phanerogams	Phanerogamen	Fanerogamer	fanerogaamit			fanerógamas 																						
174	823		Siphonogamia	Siphonogamia	Siphonogamia	Siphonogamia			sifonogamia 									Embryophyta: siphonogamous	Embryophyta: siphonogama	embryofyter				embriofitas : sifonogamas 							
174	824		Spermatophyta	Spermatophyta	fröväxter	siemenkasvit			espermatofitas 											Spermatophyta	Spermatophyta										
174.2	825		Gymnospermae	Gymnospermae	nakenfröväxter	paljassiemeniset			gimnospermas 											Gymnospermae	Gymnospermae										
174.4	826		Cycadales	Cycadales	kottepalmer	käpypalmut			Cicadales  											Cycadales	Cycadales										
174.6	827		Ginkgoales	Ginkgoales	Ginkgoales	neidonhiuspuu			Ginkgoales 												Ginkgoales										
174.7	828		Coniferae	Koniferen	Coniferae	Coniferae			Coniferae																						
174.7	829		softwood	Nadelbäume	barrträd	havupuut			Coníferas 																						
174.9	830		Gnetales	Gnetales	Gnetales	Gnetales			Gnetales  																						
175	831		Angiospermae	Angiospermae	Angiospermae	Angiospermae			angiospermas  																						
175	832		flowering plants	Bedecktsamer	gömfröväxter	koppisiemeniset			plantas floreciendo			175/179																			
175.2	833		Monocotyledoneae	Monocotyledoneae	Enhjärtbladiga växter	yksisirkkaiset			monocotiledóneas 											Monocotyledoneae	Monocotyledoneae										
176	834		hardwoods	Laubbäume	lövträd	lehtipuut			caduco															árboles de hoja caduca							
176.1	835		Dicotyledoneae	Dicotyledoneae	tvåhjärtbladiga växter	kaksisirkkaiset			Dicotiledóneas 			176/179								Dicotyledoneae	Dicotyledoneae										
18	836	classname	plant ecology	Pflanzenökologie	växtekologi	kasviekologia			ecología vegetal 																Botany: ecological	Botanik: Ökologie|Biologie: Allgemeines: Pflanze	botanik, ekologisk	kasvitiede: ekologia			
18	837		Ecology: plant	Ökologie: botanische	ekologi: växter	ekologia: kasvit			ecología botánica																						
180	838		Ecosystems: plant	Ökosysteme: Pflanzen	ekosystem (växtekologi)	ekosysteemit (kasvit)			ecosistemas (plantas)																						
181	839		Silvicultural characters of tree species	Waldbauliche Eigenschaften der Bäume	skogliga egenskaper hos träd	puut metsänhoidon kannalta			características selvícolas de las especies arbóreas 																Trees: silvicultural characters of	Bäume: waldbauliche Eigenschaften	träd: skogliga egenskaper	puut: metsänhoidolliset ominaisuudet			caracteres selvícolas de los arboles
181	840		Adaptability: plants	Anpassungsfähigkeit: Pflanzen	anpassning: växter	adaptaatio (kasvit)			adaptabilidad: vegetal															intolerancia							
181	841		Autecology: plant	Autökologie: Pflanzen	autekologi: växter	autekologia (kasvit)			autoecología vegetal 									autecology of trees	Autökologie der Bäume	autekologi av träd	puiden autekolgia			autoecología de los arboles							
181	842		Mode of life: plants	Lebensweise: Pflanzen	levnadssätt: växter	elintavat: kasvit			modo de vida: de las plantas  																						
181	843		Phenotype	Phänotyp	fenotyp	fenotyyppi	phénotype		fenotipo			The observable appearance of an organism, as determined by environmental and genetic influences, in contrast to genotype. NOTE Similar phenotypes do not necessarily breed alike. (SilvaVoc 2005)																			
181.1	844		Plant distribution	natürliche Verbreitung	naturligt förekomstområde: växter	luontainen levinneisyys (kasvit)			distribución de las plantas																natural range: plants						
181.1	845		plant geography	Vegetationsgeographie	växtgeografi	kasvimaantiede			geografía vegetal										Pflanzengeographie												
181.1	846		vegetation zones	Vegetationszoner	vegetationsregioner	kasvillisuusvyöhykkeet			areas naturales de las plantas  																						
181.2	847		Atmosphere, plant behaviour in relation to	Atmosphäre: Beziehungen der Pflanze zur Atmosphäre	atmosfär, växters levnadssätt i förhållande till	kasvien käyttäytyminen ilmaston suhteen			comportamiento de las plantas con respecto a la atmósfera																						
181.2	848		Climatic requirements: plant	Klimatische Bedürfnisse: Pflanzen	klimatanspråk: växter	kasvien ilmastovaatimukset			climáticas, exigencias de las plantas 																						
181.21	849		Light relations of plants	Licht, Auswirkungen der Pflanze auf: Beziehungen der Pflanzen zum	ljusrelationer: växter	kasvien valosuhteet			relación de las plantas con la luz										Lichtholz												
181.21	850		Shade tolerance	Schattenerträgnis	skuggtolerans	varjonsietokyky			tolerancia a la sombra										Schattholz												
181.211	851		Light relations of plants: requirements, tolerance	Lichtbedarf und -verträglichkeit der Pflanze: im allgemeinen	ljusrelationer, ljuskrav	kasvien valovaatimukset																									
181.212	852		Photoperiodic behaviour	Photoperiodismus	fotoperiodisk beteende	fotoperiodismi											v2016								Light relations of plants: photoperiodic behaviour|Light relations of plants: seasonal requirement and tolerance	Lichtbedarf und -verträglichkeit der Pflanze: im jahreszeitlichen Wechsel					
181.213	853		Light relations of plants: effect on the environment	Licht, Auswirkungen der Pflanze auf	ljusrelationer av växter: effekt på miljön	kasvien vaikutus ympäristön valosuhteisiin																									
181.22	854		Temperature relations (plants)	Temperatur: Beziehungen der Pflanze zur	temperaturrelationer: växter	kasvien lämpösuhteet			relación de las plantas con la temperatura																						
181.221	855		Temperature requirements and tolerance (plants)	Temperatur: Verträglichkeit und Wärmebedarf der Pflanze im allgemeinen	temperaturrelationer, krav och tolerans	lämpövaatimukset (kasvit)			requisitos térmicos (plantas)										Wärmebedarf der Pflanze, im allgemeinen									kasvien lämpösuhteet: vaatimukset ja toleranssi			
181.221.1	856	closeMatch	frost resistance	Kältetoleranz	kylatolerans	kylmänsietokyky	tolérance au froid		tolerancia al frío (plantas)		c_11025																				
181.221.2	857	closeMatch	heat tolerance	Hitzetoleranz	värmetolerans	lämmönsietokyky	tolérance à la chaleur		tolerancia al calor (plantas)		c_11486																				
181.222	858		seasonal temperature requirements and tolerance (plants)	Temperatur: Verträglichkeit und Wärmebedarf der Pflanze im jahreszeitlichen Wechsel		lämmön kausivaihtelun vaikutus kasveihin			Requisitos estacionales de temperatura y tolerancia (plantas)										Wärmebedarf der Pflanze, im jahreszeitlichen Wechsel												
181.222	859		Thermoperiodism	Thermoperiodismus	termoperiodisk beteende	termoperiodismi			Termoperiodismo																						
181.223	860		Temperature relations of plants: effect on the environment	Temperatur: Auswirkungen der Pflanze auf	temperaturrelationer, temperatur i omgivningen, effekter	kasvien vaikutus ympäristön lämpötilaan			Relaciones de temperaturas de las plantas: efecto sobre el medio ambiente																						
181.23	861		Wind: reaction of plants to	Wind: Beziehungen der Pflanze zum	vind, växtens reaktion för	tuuli, kasvien reaktiot			reacción de las plantas ante el viento										Luftbewegungen, Auswirkungen der Pflanze auf: Beziehungen der Pflanze zu|Wind: Verträglichkeit der Pflanze im allgemeinen												
181.231	862		Wind tolerance (plants)	Windverträglichkeit (Pflanzen)	vindtolerans (växter)	tuulensietokyky (kasvit)			tolerancia al viento (plantas)																						
181.232	863		Sea wind (plants)	Seewind, Reaktion der Pflanzen auf	havsvindar, växters reaktion för	merituuli, kasvien reaktiot			Viento de mar. reacción de la planta																						
181.232	864		Wind: reaction of plants to particular types 	Wind: Reaktion der Pflanze auf spezielle Arten	vind, växtens reaktion för (särskilda typer)	tuuli: kasvien reaktiot eri tyyppisiin 			viento: eacción de la planta al (tipos específicos)																						
181.233	865		Plants: effects on wind and other air movement	Wind: Auswirkungen der Pflanze auf	vind, växtens reaktion för (effekter)	tuulen vaikutus kasveihin			plantas: efectos del viento y otro movimiento de aire										Luftbewegungen, Auswirkungen der Pflanze auf												
181.24	866		Precipitation, reaction of plants to	Niederschlag: Reaktion der Pflanze auf	regn, växters reaktion för	sade, kasvien reaktiot			precipitación, reacción de las plantas																						
181.26	867		Electrical phenomena: plant: relation to	Beziehungen der Pflanze zu Elektrische Erscheinungen in der Atmosphäre	elektriska fenomen: växters förhållande till	sähköiset ilmiöt, kasvien reaktiot			fenómenos eléctricos: planta: relación con									Lightning, relations of plants to								Elektrische Erscheinungen: Beziehungen der Pflanze zum					
181.28	868		Acclimatization (plant)	Akklimatisation (Pflanzen)	acklimatisering (växter)	akklimatisaatio (kasvit)			aclimatación de las plantas																						
181.3	869		Nutrient uptake (plant ecology)	Nährstoffaufnahme der Pflanzen (Ökologie)	Näringsupptagning (växter)	ravinteiden otto (kasvit)			absorción por las plantas de los elementos nutritivos: aspecto ecológico 																						
181.3	870		plant nutrition (plant ecology)	Ernährung, Pflanze: (Ökologie)	näring (växter)	ravitsemus (kasvit)			nutrición (plantas)																						
181.31	871		Drought resistant plants	Dürreresistenz der Pflanze	torka motstånd (växter)	kuivuudensietokyky (kasvit)			tolerancia a la sequía (plantas)																Plant, resistance to drought						
181.31	872		Moisture relations: plants	Wasser, Beziehungen der, des ... zum: Pflanzen	fuktighet; relationer till: växter	kosteus, reaktiot (kasvit)			relaciones de la humedad con las plantas 																						
181.31	873		Water relations of plant species: ecological aspects	Wasser, Beziehungen der Pflanzen zum: ökologische Gesichtspunkte	Vattenförhållanden hos växtarter (ekologi)	kasvien vesisuhteet (ekologia)			agua, relaciones de las especies vegetales con el: aspecto  ecológico 																						
181.311	874		Soil moisture: requirements of plants		markfuktighet, vattenbehov hos växter	maan kosteus, kasvien vedentarve			humedad del suelo: requisitos de las plantas																Water relations of plant species: water requirements	Wasser, Beziehungen der Pflanzen zum: Wasserbedarf					
181.312	875		Water relations of plant species: rôle in water cycle	Wasser, Beziehungen der Pflanzen zum: Rolle im Kreislauf des Wassers		kasvien vesisuhteet, kasvien rooli veden kierrossa			relaciones de las especies vegetales con agua: función en el ciclo  del agua									Water cycle: rôle of plant species in	Wasserkreislauf: Rolle der Pflanzen im		veden kierto, kasvien rooli			ciclo del agua, funciń de las especies vegetales							
181.32	876		Soil relations of plants	Boden, Beziehungen der Pflanzen zum	markrelationer till växter	kasvien suhde maaperään			relaciones del suelo con las plantas 																						
181.33	877		Physical soil relations of plants	Physik des Bodens, Beziehungen der Pflanzen zur	markfysik: växters krav	kasvien maaperävaatimukset (fyysiset)			constitución física del suelo: su influencia en las plantas 																						
181.34	878		Chemical soil relations of plants	Chemie des Bodens, Beziehungen der Pflanze zur		kasvien maaperävaatimukset (kemialliset)			relaciones  entre la química del suelo y las plantas 																						
181.34	879		Soil nutrient relations of plants	Bodennährstoffe, Beziehungen der Pflanzen zu	näringsämnen i mark, växternas förhållande till	kasvien maaperävaatimukset (ravinteet)			relaciones de las plantas con los elementos nutritivos del suelo																						
181.341	880		Nutrient requirements (plants)	Nährstoffbedarf (Pflanzen)	näringsbehov (växter)	ravinnetarpeet (kasvit)			exigencias de las plantas en elementos nutritivos																						
181.342	881		pH, soil: effect on nutrient uptake	pH, Boden: Wirkung auf die Nährstoffaufnahme	pH, inverkan på näringsupptagandet	pH, vaikutus ravinteiden ottoon			pH del suelo, influencia en la absorción de elementos  nutritivos 											syretillgång, redoxpotential											
181.342	882		soil aeration: as factor in root relations	Bodendurchlüftung	markluft, inverkan på näringsupptagandet	maaperän ilmastuksen vaikutus juurien ravinnonottoon			aireación del suelo, como factor influyente en las raíces  																						
181.351	883		Bacterial symbiosis (nodules etc.)	Bakteriensymbiose (Wurzelknöllchen usw.)	bakteriesymbios	bakteerisymbioosit			simbiosis bacteriales (nódulos, etc.)  																						
181.351	884		Mycorrhiza (symbiosis)	Mykorrhiza	mykorrhiza	mykorritsat (symbioosi)			mycorrhiza (simbiosis)																						
181.351	885		Symbiosis: plant: (as mode of life)	Symbiose: Pflanzen: als Lebensweise	symbios: växter: (levnadssätt)	symbioosi, kasvit (elintapa)			simbiosis: vegetal (como modo de vida) 																						
